time,carbon_monoxide,nitrogen_dioxide,ozone,dust,pm2_5,hour,day_of_year
2026-06-11 00:00:00+00:00,501.0,29.8,52.0,548.0,118.7,0,162
2026-06-11 01:00:00+00:00,501.0,28.2,62.0,717.0,136.4,1,162
2026-06-11 02:00:00+00:00,566.0,25.8,78.0,957.0,152.3,2,162
2026-06-11 03:00:00+00:00,592.0,22.6,100.0,1186.0,174.6,3,162
2026-06-11 04:00:00+00:00,525.0,17.8,134.0,1383.0,197.0,4,162
2026-06-11 05:00:00+00:00,420.0,12.1,174.0,1571.0,209.1,5,162
2026-06-11 06:00:00+00:00,337.0,7.9,204.0,1732.0,208.6,6,162
2026-06-11 07:00:00+00:00,300.0,5.8,218.0,1878.0,209.1,7,162
2026-06-11 08:00:00+00:00,285.0,5.2,221.0,1998.0,212.3,8,162
2026-06-11 09:00:00+00:00,285.0,6.0,217.0,2045.0,214.2,9,162
2026-06-11 10:00:00+00:00,300.0,8.8,203.0,2001.0,214.2,10,162
2026-06-11 11:00:00+00:00,330.0,12.9,182.0,1885.0,204.4,11,162
2026-06-11 12:00:00+00:00,371.0,14.2,158.0,3340.0,330.6,12,162
2026-06-11 13:00:00+00:00,435.0,15.8,145.0,2562.0,285.0,13,162
2026-06-11 14:00:00+00:00,510.0,17.9,128.0,1495.0,217.5,14,162
2026-06-11 15:00:00+00:00,554.0,18.9,115.0,738.0,140.6,15,162
2026-06-11 16:00:00+00:00,544.0,17.9,113.0,623.0,90.1,16,162
2026-06-11 17:00:00+00:00,504.0,15.8,116.0,818.0,67.8,17,162
2026-06-11 18:00:00+00:00,461.0,14.1,117.0,933.0,120.6,18,162
2026-06-11 19:00:00+00:00,422.0,13.3,112.0,798.0,132.2,19,162
2026-06-11 20:00:00+00:00,380.0,12.9,105.0,583.0,125.7,20,162
2026-06-11 21:00:00+00:00,348.0,12.7,100.0,406.0,78.2,21,162
2026-06-11 22:00:00+00:00,324.0,12.5,98.0,306.0,46.8,22,162
2026-06-11 23:00:00+00:00,309.0,12.5,98.0,244.0,51.7,23,162
2026-06-12 00:00:00+00:00,322.0,14.8,85.0,709.0,95.7,0,163
2026-06-12 01:00:00+00:00,392.0,15.1,92.0,508.0,85.2,1,163
2026-06-12 02:00:00+00:00,490.0,15.5,102.0,235.0,61.0,2,163
2026-06-12 03:00:00+00:00,543.0,14.8,114.0,68.0,38.5,3,163
2026-06-12 04:00:00+00:00,506.0,12.1,130.0,98.0,28.8,4,163
2026-06-12 05:00:00+00:00,423.0,8.4,149.0,233.0,46.6,5,163
2026-06-12 06:00:00+00:00,359.0,5.7,163.0,380.0,53.4,6,163
2026-06-12 07:00:00+00:00,331.0,4.7,168.0,525.0,70.3,7,163
2026-06-12 08:00:00+00:00,322.0,4.8,169.0,681.0,83.8,8,163
2026-06-12 09:00:00+00:00,339.0,6.0,168.0,795.0,86.1,9,163
2026-06-12 10:00:00+00:00,404.0,7.8,169.0,852.0,85.7,10,163
2026-06-12 11:00:00+00:00,496.0,10.7,169.0,866.0,87.3,11,163
2026-06-12 12:00:00+00:00,560.0,12.8,134.0,1327.0,118.7,12,163
2026-06-12 13:00:00+00:00,564.0,23.1,112.0,1124.0,114.6,13,163
2026-06-12 14:00:00+00:00,540.0,37.0,83.0,847.0,109.2,14,163
2026-06-12 15:00:00+00:00,528.0,45.2,63.0,660.0,102.2,15,163
2026-06-12 16:00:00+00:00,550.0,41.9,63.0,665.0,92.7,16,163
2026-06-12 17:00:00+00:00,585.0,32.9,73.0,760.0,93.1,17,163
2026-06-12 18:00:00+00:00,610.0,25.8,80.0,801.0,103.6,18,163
2026-06-12 19:00:00+00:00,615.0,23.9,79.0,717.0,109.0,19,163
2026-06-12 20:00:00+00:00,610.0,23.9,74.0,580.0,104.5,20,163
2026-06-12 21:00:00+00:00,601.0,24.4,70.0,461.0,94.3,21,163
2026-06-12 22:00:00+00:00,582.0,25.1,65.0,383.0,84.3,22,163
2026-06-12 23:00:00+00:00,559.0,26.3,59.0,323.0,76.8,23,163
2026-06-13 00:00:00+00:00,561.0,23.1,63.0,115.0,74.3,0,164
2026-06-13 01:00:00+00:00,616.0,23.9,70.0,242.0,70.3,1,164
2026-06-13 02:00:00+00:00,696.0,25.0,82.0,420.0,72.2,2,164
2026-06-13 03:00:00+00:00,743.0,24.5,100.0,581.0,88.5,3,164
2026-06-13 04:00:00+00:00,727.0,21.4,129.0,717.0,110.6,4,164
