location_type,climate_zone,household_size,monthly_income,electricity_kwh,natural_gas_kwh,lpg_kg,solar_kwh,renewable_energy_percent,car_km,car_fuel_efficiency,petrol_liters,diesel_liters,motorcycle_km,ev_km,ev_charging_kwh,public_transport_percent,bus_km,train_km,flight_hours,flight_distance_km,diet_type,beef_meals_month,dairy_servings_month,food_waste_kg,local_food_percent,total_waste_kg,recycled_waste_percent,composted_waste_percent,plastic_waste_kg,paper_waste_kg,home_size_sqft,ac_hours_month,heating_hours_month,shopping_trips_month,clothing_items_month,electronics_items_year,tree_planting_year,carbon_emission_kg
rural,cool,4.0,38962.33,339.66,141.34,17.25,0.0,0.0,313.01,15.54,15.6,4.54,0.0,0.0,0.0,14.35,13.04,,3.05,2512.78,vegetarian,0.0,24.0,1.47,40.64,8.7,69.33,25.22,2.12,0.98,1417.9,8.22,109.7,0.0,2.0,0.0,1.0,837.92
suburban,hot,2.0,103784.47,218.91,61.16,10.53,0.0,3.31,1062.26,14.31,39.59,34.63,226.39,0.0,0.0,1.07,2.05,111.27,0.7,467.04,vegetarian,0.0,16.0,2.56,64.35,13.99,65.07,57.39,1.36,1.68,859.22,184.54,1.49,7.0,2.0,4.0,2.0,549.08
urban,hot,2.0,8599.13,275.08,11.64,10.03,602.58,,508.47,14.33,23.37,12.12,184.07,0.0,0.0,2.94,20.08,34.18,0.31,233.66,vegetarian,0.0,20.0,6.99,55.55,2.92,51.27,12.35,0.26,0.51,726.6,147.74,0.89,0.0,5.0,0.0,1.0,72.26
suburban,moderate,3.0,83992.73,120.48,6.64,6.58,91.94,80.02,362.0,,14.06,11.12,0.0,0.0,0.0,21.68,129.65,202.64,2.19,1540.86,mixed,2.0,22.0,3.97,46.02,10.87,64.93,14.3,1.07,1.54,1099.16,26.76,6.87,3.0,3.0,1.0,2.0,493.35
urban,hot,4.0,28550.7,443.81,,8.95,0.0,0.44,690.63,11.43,39.41,20.99,217.68,0.0,0.0,65.88,194.9,384.45,3.37,2799.0,vegetarian,0.0,14.0,9.32,86.21,,36.8,23.3,4.82,5.45,1422.02,36.18,0.22,3.0,1.0,0.0,0.0,1031.13
urban,moderate,3.0,26431.62,189.36,165.59,7.81,0.0,7.37,0.0,12.43,0.0,0.0,251.67,0.0,0.0,65.53,237.79,77.5,1.11,767.36,non_vegetarian,7.0,24.0,,,3.82,59.38,10.12,0.88,0.68,829.55,,4.82,0.0,0.0,0.0,0.0,517.54
urban,moderate,7.0,60904.9,579.67,118.03,15.35,0.0,0.0,0.0,11.16,0.0,0.0,240.34,168.76,24.58,32.94,113.99,74.55,19.55,14670.37,mixed,6.0,15.0,6.66,25.69,9.38,91.76,,,1.87,1388.73,22.09,1.41,2.0,1.0,0.0,0.0,3412.0
urban,hot,4.0,23543.38,464.49,122.19,5.83,0.0,5.34,0.0,17.55,0.0,0.0,0.0,353.6,57.29,29.07,46.72,43.54,1.37,896.65,vegetarian,0.0,22.0,4.95,91.65,16.4,15.38,18.61,1.53,1.43,924.63,85.44,0.29,1.0,0.0,0.0,2.0,653.93
,hot,3.0,147100.64,147.91,146.64,6.46,0.0,,0.0,18.47,0.0,,142.67,0.0,0.0,0.0,0.0,75.89,4.71,3187.6,non_vegetarian,7.0,20.0,3.14,0.0,23.38,44.1,29.2,5.65,4.38,875.01,229.37,7.74,4.0,7.0,5.0,1.0,982.37
,hot,3.0,39298.82,276.38,1.58,12.47,0.0,2.63,0.0,13.98,0.0,0.0,180.85,0.0,0.0,59.44,407.26,75.53,2.88,1910.22,vegan,0.0,0.0,6.94,61.85,15.15,56.91,40.43,2.89,1.04,1000.35,72.29,5.8,0.0,1.0,,0.0,657.27
urban,hot,2.0,25324.88,327.01,22.84,17.84,,34.15,0.0,18.17,0.0,0.0,395.92,0.0,0.0,46.68,209.26,38.08,2.58,1730.7,vegetarian,0.0,29.0,4.66,68.67,13.63,69.11,12.85,1.36,,885.63,174.72,0.71,,1.0,,3.0,630.68
rural,moderate,4.0,66011.93,253.48,4.59,7.22,0.0,0.0,596.96,13.22,22.1,23.04,456.57,0.0,0.0,4.05,39.81,94.29,2.46,1940.29,vegan,0.0,0.0,10.33,85.11,,61.56,34.19,3.59,1.74,1207.34,28.27,10.02,3.0,0.0,0.0,0.0,743.56
urban,cool,3.0,38415.04,289.03,401.74,14.21,215.52,74.22,0.0,15.68,0.0,0.0,308.66,884.32,156.38,33.79,117.73,44.5,1.13,911.86,non_vegetarian,6.0,19.0,4.49,76.67,,37.03,49.26,3.14,3.21,600.3,59.26,124.91,2.0,1.0,1.0,1.0,696.39
suburban,moderate,1.0,26711.04,85.6,53.45,4.89,0.0,2.09,293.2,18.08,8.2,8.02,0.0,647.22,130.51,15.57,41.88,139.58,0.53,365.56,mixed,0.0,26.0,2.87,68.63,2.34,89.75,16.03,0.47,,454.91,11.38,0.7,0.0,0.0,0.0,2.0,312.43
urban,cool,3.0,100487.28,251.96,557.14,8.36,227.24,,0.0,11.45,0.0,0.0,0.0,0.0,0.0,15.53,83.15,84.02,0.88,608.9,vegetarian,0.0,29.0,13.0,44.86,6.46,51.34,64.71,0.76,0.36,1139.15,7.59,67.47,5.0,1.0,1.0,0.0,397.93
urban,hot,4.0,11204.79,241.88,82.25,15.28,0.0,2.52,200.57,16.63,8.41,3.65,224.36,0.0,0.0,65.23,614.19,7.25,5.67,4728.0,mixed,3.0,21.0,15.99,60.55,13.2,34.48,32.6,2.12,0.7,1197.55,107.15,,0.0,2.0,1.0,1.0,1392.56
urban,moderate,2.0,141595.02,119.29,30.86,17.05,0.0,6.6,0.0,12.89,0.0,0.0,0.0,0.0,0.0,38.27,137.73,3.49,13.43,11213.2,mixed,4.0,22.0,1.61,40.02,12.05,50.86,21.13,2.59,1.65,764.05,11.42,8.8,3.0,3.0,7.0,0.0,2305.88
suburban,moderate,2.0,94921.06,185.83,23.43,5.01,152.64,74.6,626.76,19.32,25.16,7.28,0.0,0.0,0.0,33.36,107.2,90.59,6.25,4957.69,mixed,3.0,24.0,3.04,86.11,11.29,,9.43,1.39,1.41,1084.36,15.32,0.52,3.0,0.0,3.0,1.0,1096.79
urban,moderate,3.0,22792.29,149.62,94.12,3.5,0.0,0.0,1102.83,13.28,59.37,23.68,599.74,0.0,0.0,26.49,57.85,135.58,1.12,738.84,non_vegetarian,7.0,28.0,,48.43,18.48,41.89,44.73,1.6,3.07,816.5,22.1,1.16,1.0,0.0,1.0,0.0,692.42
suburban,cool,3.0,28380.81,246.78,538.61,2.14,0.0,0.0,314.83,11.46,13.39,14.08,0.0,0.0,0.0,35.12,106.44,180.39,0.02,17.47,mixed,2.0,16.0,0.93,75.81,14.28,53.42,35.35,1.29,0.92,1296.59,14.67,43.57,1.0,0.0,0.0,3.0,422.41
rural,cool,4.0,83662.91,473.38,246.58,21.47,0.0,0.0,0.0,15.06,0.0,0.0,144.37,0.0,0.0,34.96,48.04,23.23,2.53,1966.55,mixed,3.0,24.0,5.02,59.44,24.63,61.32,48.97,,1.51,1222.65,7.62,41.56,3.0,1.0,1.0,2.0,888.24
