feature,importance
hour_cos,0.0409541703963653
hour_sin,0.03854857054885792
is_night,0.0382564633989759
hour,0.0365895381906351
is_working_hour,0.03655653411524775
lights,0.023070352382995638
T3,0.023024860129460478
day_sin,0.019419054011303182
temperature_max,0.019066465907616723
day_of_week,0.01813781280216592
T1,0.01802636858848863
T8,0.01777849219379341
RH_3,0.017542588554293453
RH_8,0.01740906529023324
T4,0.01706456153723324
RH_2,0.01692299854556223
temperature_range,0.016907435138928326
T2,0.016816559625545884
Press_mm_hg,0.016815302303977656
RH_9,0.016573679615583127
RH_7,0.01653708854712672
RH_1,0.016312429173917356
outdoor_heat_humidity,0.016215259709923706
indoor_heat_humidity,0.01610935921825522
Tdewpoint,0.016095284204842315
Windspeed,0.016070898582214343
temperature_mean,0.016053007838895562
T3_Tout_difference,0.016022465612368534
day,0.015955385373099186
RH1_RHout_difference,0.015772936495580363
T_out,0.015580092338709033
T6,0.015450515181292729
T7,0.015440486601013577
T1_Tout_difference,0.015394550048198351
RH_out,0.015202480015830333
RH2_RHout_difference,0.015192504956447504
RH_4,0.015181749694472065
T2_Tout_difference,0.015143458297008083
humidity_mean,0.015128566715077764
temperature_min,0.015104631490231479
T5,0.015055513700709464
RH_5,0.01499568628356044
humidity_min,0.014950777745989855
T9,0.014888367251031912
day_cos,0.014639710075047432
RH_6,0.014595878866534321
humidity_range,0.014386008510571101
humidity_max,0.014331480018368108
is_evening,0.01432202912461019
month_sin,0.012633035043043672
Visibility,0.011715570963590884
is_afternoon,0.011449385402331288
month_cos,0.01078600404379907
month,0.010725630753844233
is_weekend,0.009718823381887702
rv2,0.007318955754538222
rv1,0.007159959378607736
is_morning,0.0068831603301670085
