time,temperature_2m,relative_humidity_2m,cloud_cover,wind_speed_10m,pressure_msl,precipitation,hour,day_of_year,rain_event
2023-01-01 00:00:00+00:00,8.0,95,88,6.9,1020.1,0.0,0,1,0
2023-01-01 01:00:00+00:00,8.0,95,99,7.2,1020.7,0.0,1,1,0
2023-01-01 02:00:00+00:00,8.1,95,11,7.6,1021.1,0.0,2,1,0
2023-01-01 03:00:00+00:00,9.5,90,13,8.7,1021.7,0.0,3,1,0
2023-01-01 04:00:00+00:00,12.0,84,0,6.9,1022.5,0.0,4,1,0
2023-01-01 05:00:00+00:00,14.4,75,0,6.5,1023.0,0.0,5,1,0
2023-01-01 06:00:00+00:00,16.2,68,0,6.3,1022.6,0.0,6,1,0
2023-01-01 07:00:00+00:00,17.3,63,0,5.5,1021.4,0.0,7,1,0
2023-01-01 08:00:00+00:00,18.0,60,0,6.0,1020.4,0.0,8,1,0
2023-01-01 09:00:00+00:00,18.3,56,21,5.9,1019.6,0.0,9,1,0
2023-01-01 10:00:00+00:00,18.2,55,37,5.8,1019.2,0.0,10,1,0
2023-01-01 11:00:00+00:00,17.4,62,23,5.0,1019.4,0.0,11,1,0
2023-01-01 12:00:00+00:00,16.8,63,86,4.9,1020.0,0.0,12,1,0
2023-01-01 13:00:00+00:00,15.8,67,49,1.1,1020.2,0.0,13,1,0
2023-01-01 14:00:00+00:00,14.9,71,35,1.8,1020.6,0.0,14,1,0
2023-01-01 15:00:00+00:00,12.0,82,0,3.9,1021.3,0.0,15,1,0
2023-01-01 16:00:00+00:00,10.6,85,0,5.5,1021.2,0.0,16,1,0
2023-01-01 17:00:00+00:00,10.8,82,0,5.6,1021.4,0.0,17,1,0
2023-01-01 18:00:00+00:00,11.2,78,0,5.4,1021.2,0.0,18,1,0
2023-01-01 19:00:00+00:00,9.3,86,0,7.3,1021.1,0.0,19,1,0
2023-01-01 20:00:00+00:00,8.6,90,0,8.1,1020.8,0.0,20,1,0
2023-01-01 21:00:00+00:00,8.1,92,0,8.5,1020.2,0.0,21,1,0
2023-01-01 22:00:00+00:00,7.3,95,0,9.2,1020.3,0.0,22,1,0
2023-01-01 23:00:00+00:00,8.9,92,0,6.1,1019.9,0.0,23,1,0
2023-01-02 00:00:00+00:00,6.5,95,0,5.1,1020.7,0.0,0,2,0
2023-01-02 01:00:00+00:00,6.7,95,0,4.6,1021.4,0.0,1,2,0
2023-01-02 02:00:00+00:00,6.3,95,0,5.0,1022.2,0.0,2,2,0
2023-01-02 03:00:00+00:00,8.8,91,0,6.4,1023.0,0.0,3,2,0
2023-01-02 04:00:00+00:00,12.1,83,0,4.0,1023.7,0.0,4,2,0
2023-01-02 05:00:00+00:00,15.0,73,0,3.1,1024.0,0.0,5,2,0
2023-01-02 06:00:00+00:00,16.6,65,0,2.0,1023.2,0.0,6,2,0
2023-01-02 07:00:00+00:00,17.5,58,0,2.4,1022.2,0.0,7,2,0
2023-01-02 08:00:00+00:00,18.0,55,0,4.1,1021.2,0.0,8,2,0
2023-01-02 09:00:00+00:00,18.2,53,0,5.8,1020.3,0.0,9,2,0
2023-01-02 10:00:00+00:00,17.9,53,0,7.0,1019.7,0.0,10,2,0
2023-01-02 11:00:00+00:00,17.0,59,0,4.9,1019.9,0.0,11,2,0
2023-01-02 12:00:00+00:00,15.2,68,0,3.7,1020.7,0.0,12,2,0
2023-01-02 13:00:00+00:00,14.1,73,4,1.3,1021.4,0.0,13,2,0
2023-01-02 14:00:00+00:00,13.3,76,0,2.2,1022.0,0.0,14,2,0
2023-01-02 15:00:00+00:00,12.8,77,0,3.9,1022.4,0.0,15,2,0
2023-01-02 16:00:00+00:00,12.4,79,0,5.2,1022.5,0.0,16,2,0
2023-01-02 17:00:00+00:00,12.2,80,0,4.3,1022.6,0.0,17,2,0
2023-01-02 18:00:00+00:00,11.7,82,0,5.0,1022.3,0.0,18,2,0
2023-01-02 19:00:00+00:00,11.0,86,0,5.1,1022.2,0.0,19,2,0
2023-01-02 20:00:00+00:00,10.4,90,12,5.9,1021.8,0.0,20,2,0
2023-01-02 21:00:00+00:00,9.5,93,37,6.0,1022.0,0.0,21,2,0
2023-01-02 22:00:00+00:00,8.5,98,54,4.1,1021.7,0.0,22,2,0
2023-01-02 23:00:00+00:00,7.8,99,100,2.4,1021.7,0.0,23,2,0
2023-01-03 00:00:00+00:00,6.0,98,100,1.8,1021.8,0.0,0,3,0
2023-01-03 01:00:00+00:00,6.5,99,100,4.7,1022.5,0.0,1,3,0
2023-01-03 02:00:00+00:00,6.7,99,100,5.5,1023.3,0.0,2,3,0
2023-01-03 03:00:00+00:00,7.8,96,100,5.9,1024.3,0.0,3,3,0
2023-01-03 04:00:00+00:00,9.7,93,100,5.7,1025.1,0.0,4,3,0
2023-01-03 05:00:00+00:00,11.1,92,0,4.5,1025.2,0.0,5,3,0
2023-01-03 06:00:00+00:00,13.6,78,18,6.7,1024.8,0.0,6,3,0
2023-01-03 07:00:00+00:00,15.3,67,0,7.7,1023.3,0.0,7,3,0
2023-01-03 08:00:00+00:00,16.2,62,0,8.9,1022.2,0.0,8,3,0
2023-01-03 09:00:00+00:00,16.6,59,0,9.4,1021.3,0.0,9,3,0
2023-01-03 10:00:00+00:00,16.5,57,0,9.7,1020.7,0.0,10,3,0
2023-01-03 11:00:00+00:00,15.8,61,0,9.7,1020.8,0.0,11,3,0
2023-01-03 12:00:00+00:00,11.9,81,0,6.4,1021.6,0.0,12,3,0
2023-01-03 13:00:00+00:00,10.7,87,0,7.7,1022.2,0.0,13,3,0
2023-01-03 14:00:00+00:00,10.0,88,0,7.9,1022.8,0.0,14,3,0
2023-01-03 15:00:00+00:00,9.6,88,0,8.7,1023.0,0.0,15,3,0
2023-01-03 16:00:00+00:00,8.9,90,0,9.2,1023.1,0.0,16,3,0
2023-01-03 17:00:00+00:00,8.2,93,0,7.9,1023.4,0.0,17,3,0
2023-01-03 18:00:00+00:00,7.6,95,0,7.1,1023.4,0.0,18,3,0
2023-01-03 19:00:00+00:00,7.3,96,0,7.3,1023.0,0.0,19,3,0
2023-01-03 20:00:00+00:00,7.3,96,0,8.7,1022.8,0.0,20,3,0
2023-01-03 21:00:00+00:00,7.1,97,0,8.7,1022.5,0.0,21,3,0
2023-01-03 22:00:00+00:00,6.8,97,0,8.7,1022.2,0.0,22,3,0
2023-01-03 23:00:00+00:00,6.6,98,0,8.4,1022.1,0.0,23,3,0
2023-01-04 00:00:00+00:00,5.4,99,53,8.5,1023.1,0.0,0,4,0
2023-01-04 01:00:00+00:00,5.7,99,100,8.1,1023.7,0.0,1,4,0
2023-01-04 02:00:00+00:00,5.9,99,100,8.9,1024.3,0.0,2,4,0
2023-01-04 03:00:00+00:00,7.1,96,98,10.0,1025.1,0.0,3,4,0
2023-01-04 04:00:00+00:00,9.1,90,45,11.2,1025.8,0.0,4,4,0
2023-01-04 05:00:00+00:00,11.3,83,4,8.6,1025.7,0.0,5,4,0
2023-01-04 06:00:00+00:00,13.2,76,0,8.4,1024.7,0.0,6,4,0
2023-01-04 07:00:00+00:00,14.8,70,0,8.7,1023.5,0.0,7,4,0
2023-01-04 08:00:00+00:00,15.8,65,0,8.7,1022.1,0.0,8,4,0
2023-01-04 09:00:00+00:00,16.4,63,0,8.5,1021.3,0.0,9,4,0
2023-01-04 10:00:00+00:00,16.5,62,0,8.5,1020.9,0.0,10,4,0
2023-01-04 11:00:00+00:00,15.9,65,0,9.3,1021.0,0.0,11,4,0
2023-01-04 12:00:00+00:00,11.1,87,0,6.1,1022.2,0.0,12,4,0
2023-01-04 13:00:00+00:00,10.0,90,0,7.4,1022.6,0.0,13,4,0
2023-01-04 14:00:00+00:00,9.5,91,0,7.7,1022.8,0.0,14,4,0
2023-01-04 15:00:00+00:00,8.5,93,0,7.1,1023.3,0.0,15,4,0
2023-01-04 16:00:00+00:00,7.6,95,0,7.9,1023.5,0.0,16,4,0
2023-01-04 17:00:00+00:00,6.7,97,0,9.8,1023.5,0.0,17,4,0
2023-01-04 18:00:00+00:00,7.1,97,0,7.9,1023.7,0.0,18,4,0
2023-01-04 19:00:00+00:00,6.4,98,1,6.9,1023.2,0.0,19,4,0
2023-01-04 20:00:00+00:00,5.8,99,0,5.6,1022.9,0.0,20,4,0
2023-01-04 21:00:00+00:00,6.0,99,100,7.4,1022.6,0.0,21,4,0
2023-01-04 22:00:00+00:00,5.9,99,100,8.8,1022.4,0.0,22,4,0
2023-01-04 23:00:00+00:00,5.7,100,100,8.7,1022.3,0.0,23,4,0
2023-01-05 00:00:00+00:00,5.4,99,100,7.6,1023.2,0.0,0,5,0
2023-01-05 01:00:00+00:00,5.7,98,100,8.3,1023.9,0.0,1,5,0
2023-01-05 02:00:00+00:00,5.8,99,100,8.8,1024.6,0.0,2,5,0
2023-01-05 03:00:00+00:00,6.5,98,100,8.1,1025.4,0.0,3,5,0
2023-01-05 04:00:00+00:00,7.8,97,100,8.6,1026.5,0.0,4,5,0
2023-01-05 05:00:00+00:00,9.1,95,100,8.7,1026.7,0.0,5,5,0
2023-01-05 06:00:00+00:00,11.4,83,49,8.0,1026.3,0.0,6,5,0
2023-01-05 07:00:00+00:00,13.3,76,17,8.1,1025.0,0.0,7,5,0
2023-01-05 08:00:00+00:00,14.6,68,5,8.6,1023.8,0.0,8,5,0
2023-01-05 09:00:00+00:00,15.4,64,0,9.4,1022.7,0.0,9,5,0
2023-01-05 10:00:00+00:00,15.4,64,0,9.4,1022.2,0.0,10,5,0
2023-01-05 11:00:00+00:00,14.9,67,0,8.4,1022.2,0.0,11,5,0
2023-01-05 12:00:00+00:00,10.8,84,0,7.1,1023.6,0.0,12,5,0
2023-01-05 13:00:00+00:00,9.8,86,0,6.9,1024.1,0.0,13,5,0
2023-01-05 14:00:00+00:00,8.7,90,0,7.7,1024.5,0.0,14,5,0
2023-01-05 15:00:00+00:00,8.7,92,0,7.6,1025.2,0.0,15,5,0
2023-01-05 16:00:00+00:00,8.4,93,0,7.2,1025.3,0.0,16,5,0
2023-01-05 17:00:00+00:00,6.9,96,0,8.4,1025.5,0.0,17,5,0
2023-01-05 18:00:00+00:00,5.6,97,0,10.2,1025.2,0.0,18,5,0
2023-01-05 19:00:00+00:00,4.9,99,3,10.9,1024.8,0.0,19,5,0
2023-01-05 20:00:00+00:00,4.8,100,99,8.9,1024.3,0.0,20,5,0
2023-01-05 21:00:00+00:00,4.9,99,100,4.0,1023.7,0.0,21,5,0
2023-01-05 22:00:00+00:00,5.0,99,100,5.1,1023.2,0.0,22,5,0
2023-01-05 23:00:00+00:00,5.0,99,100,5.8,1022.8,0.0,23,5,0
2023-01-06 00:00:00+00:00,6.4,97,100,4.6,1024.5,0.0,0,6,0
