time,temperature_2m,relative_humidity_2m,cloud_cover,wind_speed_10m,precipitation,surface_pressure,shortwave_radiation,hour,day_of_year
2023-01-01 00:00:00+00:00,8.0,95,88,6.9,0.0,994.0,0.0,0,1
2023-01-01 01:00:00+00:00,8.0,95,99,7.2,0.0,994.6,0.0,1,1
2023-01-01 02:00:00+00:00,8.1,95,11,7.6,0.0,995.0,1.0,2,1
2023-01-01 03:00:00+00:00,9.5,90,13,8.7,0.0,995.7,75.0,3,1
2023-01-01 04:00:00+00:00,12.0,84,0,6.9,0.0,996.7,234.0,4,1
2023-01-01 05:00:00+00:00,14.4,75,0,6.5,0.0,997.4,392.0,5,1
2023-01-01 06:00:00+00:00,16.2,68,0,6.3,0.0,997.1,509.0,6,1
2023-01-01 07:00:00+00:00,17.3,63,0,5.5,0.0,996.1,567.0,7,1
2023-01-01 08:00:00+00:00,18.0,60,0,6.0,0.0,995.2,560.0,8,1
2023-01-01 09:00:00+00:00,18.3,56,21,5.9,0.0,994.4,489.0,9,1
2023-01-01 10:00:00+00:00,18.2,55,37,5.8,0.0,994.0,360.0,10,1
2023-01-01 11:00:00+00:00,17.4,62,23,5.0,0.0,994.1,190.0,11,1
2023-01-01 12:00:00+00:00,16.8,63,86,4.9,0.0,994.7,51.0,12,1
2023-01-01 13:00:00+00:00,15.8,67,49,1.1,0.0,994.8,0.0,13,1
2023-01-01 14:00:00+00:00,14.9,71,35,1.8,0.0,995.1,0.0,14,1
2023-01-01 15:00:00+00:00,12.0,82,0,3.9,0.0,995.5,0.0,15,1
2023-01-01 16:00:00+00:00,10.6,85,0,5.5,0.0,995.3,0.0,16,1
2023-01-01 17:00:00+00:00,10.8,82,0,5.6,0.0,995.5,0.0,17,1
2023-01-01 18:00:00+00:00,11.2,78,0,5.4,0.0,995.3,0.0,18,1
2023-01-01 19:00:00+00:00,9.3,86,0,7.3,0.0,995.1,0.0,19,1
2023-01-01 20:00:00+00:00,8.6,90,0,8.1,0.0,994.7,0.0,20,1
2023-01-01 21:00:00+00:00,8.1,92,0,8.5,0.0,994.1,0.0,21,1
2023-01-01 22:00:00+00:00,7.3,95,0,9.2,0.0,994.1,0.0,22,1
2023-01-01 23:00:00+00:00,8.9,92,0,6.1,0.0,993.9,0.0,23,1
2023-01-02 00:00:00+00:00,6.5,95,0,5.1,0.0,994.4,0.0,0,2
2023-01-02 01:00:00+00:00,6.7,95,0,4.6,0.0,995.1,0.0,1,2
2023-01-02 02:00:00+00:00,6.3,95,0,5.0,0.0,995.9,1.0,2,2
2023-01-02 03:00:00+00:00,8.8,91,0,6.4,0.0,996.9,76.0,3,2
2023-01-02 04:00:00+00:00,12.1,83,0,4.0,0.0,997.9,233.0,4,2
2023-01-02 05:00:00+00:00,15.0,73,0,3.1,0.0,998.4,404.0,5,2
2023-01-02 06:00:00+00:00,16.6,65,0,2.0,0.0,997.8,520.0,6,2
2023-01-02 07:00:00+00:00,17.5,58,0,2.4,0.0,996.9,571.0,7,2
2023-01-02 08:00:00+00:00,18.0,55,0,4.1,0.0,995.9,565.0,8,2
2023-01-02 09:00:00+00:00,18.2,53,0,5.8,0.0,995.1,495.0,9,2
2023-01-02 10:00:00+00:00,17.9,53,0,7.0,0.0,994.5,370.0,10,2
2023-01-02 11:00:00+00:00,17.0,59,0,4.9,0.0,994.6,208.0,11,2
2023-01-02 12:00:00+00:00,15.2,68,0,3.7,0.0,995.2,55.0,12,2
2023-01-02 13:00:00+00:00,14.1,73,4,1.3,0.0,995.8,0.0,13,2
2023-01-02 14:00:00+00:00,13.3,76,0,2.2,0.0,996.3,0.0,14,2
2023-01-02 15:00:00+00:00,12.8,77,0,3.9,0.0,996.7,0.0,15,2
2023-01-02 16:00:00+00:00,12.4,79,0,5.2,0.0,996.7,0.0,16,2
2023-01-02 17:00:00+00:00,12.2,80,0,4.3,0.0,996.8,0.0,17,2
2023-01-02 18:00:00+00:00,11.7,82,0,5.0,0.0,996.5,0.0,18,2
2023-01-02 19:00:00+00:00,11.0,86,0,5.1,0.0,996.3,0.0,19,2
2023-01-02 20:00:00+00:00,10.4,90,12,5.9,0.0,995.8,0.0,20,2
2023-01-02 21:00:00+00:00,9.5,93,37,6.0,0.0,996.0,0.0,21,2
2023-01-02 22:00:00+00:00,8.5,98,54,4.1,0.0,995.6,0.0,22,2
2023-01-02 23:00:00+00:00,7.8,99,100,2.4,0.0,995.5,0.0,23,2
2023-01-03 00:00:00+00:00,6.0,98,100,1.8,0.0,995.5,0.0,0,3
2023-01-03 01:00:00+00:00,6.5,99,100,4.7,0.0,996.2,0.0,1,3
2023-01-03 02:00:00+00:00,6.7,99,100,5.5,0.0,997.0,1.0,2,3
2023-01-03 03:00:00+00:00,7.8,96,100,5.9,0.0,998.0,47.0,3,3
2023-01-03 04:00:00+00:00,9.7,93,100,5.7,0.0,999.0,139.0,4,3
2023-01-03 05:00:00+00:00,11.1,92,0,4.5,0.0,999.2,259.0,5,3
2023-01-03 06:00:00+00:00,13.6,78,18,6.7,0.0,999.1,430.0,6,3
2023-01-03 07:00:00+00:00,15.3,67,0,7.7,0.0,997.7,566.0,7,3
2023-01-03 08:00:00+00:00,16.2,62,0,8.9,0.0,996.8,566.0,8,3
2023-01-03 09:00:00+00:00,16.6,59,0,9.4,0.0,995.9,497.0,9,3
2023-01-03 10:00:00+00:00,16.5,57,0,9.7,0.0,995.3,372.0,10,3
2023-01-03 11:00:00+00:00,15.8,61,0,9.7,0.0,995.4,211.0,11,3
2023-01-03 12:00:00+00:00,11.9,81,0,6.4,0.0,995.8,58.0,12,3
2023-01-03 13:00:00+00:00,10.7,87,0,7.7,0.0,996.3,0.0,13,3
2023-01-03 14:00:00+00:00,10.0,88,0,7.9,0.0,996.8,0.0,14,3
2023-01-03 15:00:00+00:00,9.6,88,0,8.7,0.0,996.9,0.0,15,3
2023-01-03 16:00:00+00:00,8.9,90,0,9.2,0.0,997.0,0.0,16,3
2023-01-03 17:00:00+00:00,8.2,93,0,7.9,0.0,997.2,0.0,17,3
2023-01-03 18:00:00+00:00,7.6,95,0,7.1,0.0,997.2,0.0,18,3
2023-01-03 19:00:00+00:00,7.3,96,0,7.3,0.0,996.7,0.0,19,3
2023-01-03 20:00:00+00:00,7.3,96,0,8.7,0.0,996.5,0.0,20,3
2023-01-03 21:00:00+00:00,7.1,97,0,8.7,0.0,996.2,0.0,21,3
2023-01-03 22:00:00+00:00,6.8,97,0,8.7,0.0,995.9,0.0,22,3
2023-01-03 23:00:00+00:00,6.6,98,0,8.4,0.0,995.8,0.0,23,3
2023-01-04 00:00:00+00:00,5.4,99,53,8.5,0.0,996.7,0.0,0,4
2023-01-04 01:00:00+00:00,5.7,99,100,8.1,0.0,997.3,0.0,1,4
2023-01-04 02:00:00+00:00,5.9,99,100,8.9,0.0,997.9,1.0,2,4
2023-01-04 03:00:00+00:00,7.1,96,98,10.0,0.0,998.8,60.0,3,4
2023-01-04 04:00:00+00:00,9.1,90,45,11.2,0.0,999.6,173.0,4,4
