user_id,day_type,transport_mode,distance_km,electricity_kwh,renewable_usage_pct,food_type,screen_time_hours,waste_generated_kg,eco_actions,carbon_footprint_kg,carbon_impact_level,action_opportunity
1,Weekend,EV,1.55,6.12,0,Non-Veg,2.4,0.7,1,11.03,High,0.447775
1,Weekend,Walk,10.04,4.5,0,Mixed,4.1,0.54,1,7.44,Medium,0.5087
1,Weekday,Walk,15.27,2.81,0,Mixed,4.0,0.51,1,6.01,Medium,0.537875
1,Weekend,Walk,0.5,10.16,0,Mixed,6.3,0.73,0,12.7,High,0.51785
1,Weekend,Walk,3.6,5.02,50,Mixed,5.1,0.64,0,6.33,Medium,0.3216
1,Weekday,EV,7.77,5.14,50,Veg,4.2,0.73,1,4.89,Low,0.38332499999999997
1,Weekend,Bike,6.87,7.14,75,Mixed,2.6,0.45,0,5.5,Low,0.327175
2,Weekend,Bus,0.5,4.76,25,Non-Veg,3.0,0.66,1,8.86,Medium,0.34175
2,Weekday,Walk,14.33,8.78,50,Non-Veg,7.4,0.8,0,10.06,Medium,0.543725
2,Weekday,Car,9.51,7.78,0,Mixed,2.4,1.03,1,12.72,High,0.606875
2,Weekend,Car,9.25,9.62,75,Mixed,5.3,0.91,3,7.31,Medium,0.44332499999999997
2,Weekday,Bike,9.42,2.47,0,Mixed,2.8,1.0,0,6.73,Medium,0.49715000000000004
2,Weekend,EV,0.5,9.06,25,Non-Veg,8.4,0.73,1,11.57,High,0.43335
2,Weekday,Walk,6.02,6.8,0,Mixed,8.5,0.75,4,8.38,Medium,0.52125
3,Weekend,Bike,11.49,7.73,75,Mixed,4.2,0.81,2,5.26,Low,0.425525
3,Weekend,Bike,4.53,7.42,25,Mixed,3.6,0.82,0,9.05,Medium,0.458125
3,Weekday,Bike,13.81,7.11,0,Veg,5.6,0.68,2,7.85,Medium,0.619225
3,Weekend,Bus,11.62,3.96,0,Mixed,2.3,0.86,2,7.91,Medium,0.54325
3,Weekday,Walk,13.91,6.95,0,Veg,3.0,0.93,0,8.82,Medium,0.637275
3,Weekend,Car,5.97,9.47,0,Veg,7.1,1.02,1,11.84,High,0.595625
3,Weekday,Bike,14.35,11.36,0,Veg,7.8,0.67,0,12.11,High,0.710175
4,Weekend,Bus,3.73,3.54,50,Mixed,3.2,0.75,1,5.75,Low,0.302425
4,Weekday,Bike,8.87,5.75,75,Non-Veg,8.1,0.9,2,6.96,Medium,0.360375
4,Weekday,Bus,7.08,5.74,75,Veg,8.3,0.7,1,4.18,Low,0.3218
4,Weekday,Bike,17.2,4.77,75,Non-Veg,8.2,0.86,0,7.51,Medium,0.4417
4,Weekday,Bus,16.87,6.85,0,Mixed,3.1,0.6,2,10.38,Medium,0.645875
4,Weekday,Walk,14.94,4.61,0,Veg,4.3,0.89,3,5.65,Low,0.6001500000000001
4,Weekday,Bike,17.07,3.86,0,Mixed,8.8,0.58,2,6.57,Medium,0.586975
5,Weekend,Car,16.94,7.23,25,Non-Veg,3.4,0.63,0,14.26,High,0.5942500000000001
5,Weekend,Walk,9.91,5.13,75,Mixed,8.7,0.92,2,4.86,Low,0.362575
5,Weekday,EV,11.5,8.39,100,Veg,8.7,0.73,2,2.54,Low,0.36995
5,Weekday,Car,15.11,7.45,75,Mixed,6.9,0.57,1,8.49,Medium,0.44597499999999995
5,Weekend,Car,6.23,5.0,75,Non-Veg,7.2,1.04,1,8.68,Medium,0.323575
5,Weekend,Car,10.22,7.99,75,Non-Veg,8.4,0.93,1,9.99,Medium,0.42445
5,Weekend,Bike,8.28,9.11,50,Non-Veg,7.6,0.76,1,9.75,Medium,0.4715
6,Weekday,Bus,15.04,6.21,25,Veg,4.0,0.63,1,7.37,Medium,0.5501
6,Weekend,Bus,2.43,5.68,25,Veg,7.4,0.84,0,6.7,Medium,0.398675
6,Weekday,Bike,6.92,6.36,25,Mixed,6.5,0.6,3,6.94,Medium,0.4492
6,Weekday,Bus,9.35,7.82,25,Non-Veg,2.5,0.83,1,11.66,High,0.527175
6,Weekend,Bike,9.46,5.43,25,Veg,7.0,0.6,1,5.66,Low,0.46235
6,Weekend,Walk,14.49,8.14,25,Mixed,3.7,0.99,0,9.69,Medium,0.6106250000000001
6,Weekday,Bike,9.17,5.85,0,Non-Veg,5.4,1.11,1,11.23,High,0.570425
7,Weekend,Car,12.53,3.19,50,Veg,2.3,0.96,2,6.29,Medium,0.42222499999999996
7,Weekday,Bus,6.26,5.4,25,Mixed,8.6,0.68,1,7.74,Medium,0.42815000000000003
7,Weekday,Walk,9.54,9.56,25,Non-Veg,8.6,0.76,1,11.89,High,0.55875
7,Weekend,Car,5.57,4.89,0,Mixed,7.9,0.71,0,9.53,Medium,0.474225
7,Weekday,Walk,9.64,7.29,0,Mixed,6.9,0.85,2,9.7,Medium,0.5843
7,Weekend,Car,7.23,6.75,75,Non-Veg,8.9,0.53,1,8.64,Medium,0.330275
7,Weekday,EV,9.32,7.85,75,Non-Veg,8.0,0.98,1,8.26,Medium,0.4144
8,Weekday,Car,10.24,9.8,0,Veg,8.3,0.87,1,12.83,High,0.6436000000000001
8,Weekday,Bus,13.3,7.21,100,Non-Veg,6.0,0.71,0,7.41,Medium,0.36725
8,Weekday,Walk,20.37,9.62,50,Non-Veg,7.5,0.63,1,9.8,Medium,0.622425
8,Weekend,Bus,3.2,7.43,25,Mixed,5.1,0.81,0,9.3,Medium,0.4409
8,Weekday,Walk,15.22,8.19,50,Non-Veg,2.7,0.76,0,9.77,Medium,0.5398499999999999
8,Weekend,Walk,4.27,7.82,75,Mixed,6.9,1.1,3,5.22,Low,0.360275
8,Weekend,Car,4.09,3.78,75,Veg,2.8,1.18,1,4.65,Low,0.28362499999999996
9,Weekday,Car,13.29,4.4,50,Non-Veg,6.1,0.67,0,10.89,Medium,0.43272499999999997
9,Weekday,Bike,13.61,5.27,100,Non-Veg,2.1,0.78,1,6.03,Medium,0.337925
9,Weekday,EV,12.28,7.66,100,Non-Veg,2.5,0.78,2,6.13,Medium,0.3691
9,Weekend,Bus,6.22,9.76,25,Veg,8.3,0.53,0,9.14,Medium,0.50285
9,Weekday,Bus,11.56,7.64,50,Veg,3.9,0.66,1,6.45,Medium,0.4751
9,Weekend,Walk,0.58,2.44,75,Veg,6.8,0.76,0,3.41,Low,0.17935
9,Weekday,Car,6.72,9.18,75,Non-Veg,8.1,0.92,1,9.5,Medium,0.4037
10,Weekend,Car,4.12,6.95,75,Mixed,7.9,0.72,1,6.26,Medium,0.3106
10,Weekday,Walk,11.57,6.24,75,Mixed,7.7,1.04,2,5.23,Low,0.415125
10,Weekday,Walk,13.25,4.42,100,Mixed,6.2,0.71,0,4.35,Low,0.310825
10,Weekend,EV,10.24,9.11,25,Veg,2.8,0.79,3,7.76,Medium,0.5609
10,Weekday,Bike,20.19,8.19,25,Mixed,2.9,0.77,0,9.46,Medium,0.665275
10,Weekday,Walk,14.58,8.8,50,Mixed,3.5,0.95,1,7.85,Medium,0.55925
10,Weekend,Bike,0.5,5.85,25,Veg,7.5,0.88,1,6.26,Medium,0.38115
11,Weekend,Car,5.94,8.74,0,Veg,5.2,0.85,1,11.03,High,0.56705
11,Weekday,Walk,13.61,7.08,0,Veg,2.9,0.84,0,8.81,Medium,0.6289250000000001
11,Weekday,Walk,13.47,5.61,0,Mixed,4.4,0.84,1,8.71,Medium,0.5977750000000001
11,Weekday,EV,15.82,6.35,0,Non-Veg,2.6,0.69,0,12.17,High,0.62995
11,Weekday,Car,6.26,6.96,25,Veg,5.5,0.83,2,7.79,Medium,0.47135000000000005
11,Weekend,Bus,6.17,7.1,75,Veg,7.2,0.81,0,4.92,Low,0.34642500000000004
11,Weekday,EV,9.81,5.09,25,Mixed,6.3,0.73,1,7.5,Medium,0.470325
12,Weekday,EV,3.23,6.15,25,Mixed,5.7,0.66,0,8.2,Medium,0.403675
12,Weekend,Bike,12.1,2.0,0,Non-Veg,3.9,0.56,1,7.41,Medium,0.48605000000000004
12,Weekend,Walk,5.81,3.72,75,Non-Veg,6.2,0.53,2,6.09,Medium,0.251925
12,Weekend,Bus,6.31,3.56,25,Mixed,7.2,0.39,0,6.66,Medium,0.368775
12,Weekend,Bike,5.24,7.62,25,Veg,4.5,0.33,2,6.29,Medium,0.43179999999999996
12,Weekday,EV,9.4,4.23,0,Veg,4.0,0.61,2,5.77,Low,0.5009
12,Weekday,EV,8.68,5.81,75,Veg,7.7,0.58,0,4.23,Low,0.3336
13,Weekday,Bike,14.11,5.19,25,Mixed,6.0,0.75,0,7.59,Medium,0.527675
13,Weekday,Bus,8.95,3.44,25,Veg,3.7,0.2,0,5.07,Low,0.384175
13,Weekend,EV,0.5,6.25,25,Veg,3.1,1.12,0,7.21,Medium,0.40835
13,Weekend,Bus,0.5,3.27,0,Mixed,8.9,0.48,1,6.4,Medium,0.36005
13,Weekend,Bus,9.34,2.78,50,Mixed,6.2,0.1,2,4.71,Low,0.30535
13,Weekday,Walk,8.81,5.12,0,Non-Veg,2.5,0.58,3,9.19,Medium,0.5089250000000001
13,Weekday,Bike,9.62,5.87,0,Non-Veg,3.1,0.67,1,10.72,Medium,0.54125
14,Weekend,EV,10.14,9.52,25,Non-Veg,4.6,0.78,1,12.29,High,0.56705
14,Weekend,Walk,6.07,10.38,0,Non-Veg,8.3,1.02,2,14.44,High,0.615075
14,Weekday,Car,3.16,7.66,0,Mixed,3.0,0.97,2,10.81,Medium,0.5203
14,Weekday,Walk,12.73,7.8,0,Non-Veg,4.2,1.02,0,13.13,High,0.646725
14,Weekday,Bus,8.58,10.08,75,Non-Veg,4.4,0.94,1,8.98,Medium,0.44655
14,Weekday,Bike,17.15,6.56,0,Non-Veg,3.6,1.05,2,11.34,High,0.6795749999999999
14,Weekday,Bike,15.89,5.97,0,Mixed,8.4,0.61,1,8.72,Medium,0.616825
15,Weekday,Walk,12.72,10.62,50,Non-Veg,2.1,1.04,2,10.3,Medium,0.5796
15,Weekday,Bike,14.36,9.25,25,Non-Veg,7.2,0.95,3,11.13,High,0.628
15,Weekend,Car,6.22,7.83,25,Mixed,4.8,0.65,1,10.01,Medium,0.47385
15,Weekend,Bus,4.29,4.04,25,Veg,8.4,0.35,1,4.85,Low,0.34992500000000004
15,Weekday,Bike,10.66,8.87,0,Mixed,5.2,0.63,1,11.13,High,0.61105
15,Weekend,Walk,4.91,5.45,25,Mixed,6.4,0.82,0,7.84,Medium,0.423475
15,Weekend,EV,1.93,6.79,100,Non-Veg,3.0,0.52,2,5.41,Low,0.201525
16,Weekday,Walk,11.34,3.03,75,Mixed,3.4,0.65,0,4.91,Low,0.31684999999999997
16,Weekend,Car,5.87,3.46,25,Non-Veg,2.5,0.47,1,9.02,Medium,0.36767500000000003
16,Weekday,Car,18.02,6.68,0,Veg,3.3,0.1,3,10.19,Medium,0.61685
16,Weekday,Bus,7.56,7.6,0,Non-Veg,3.1,0.71,0,13.18,High,0.5533
16,Weekday,Walk,17.09,3.17,50,Non-Veg,2.1,0.37,0,7.25,Medium,0.43162500000000004
16,Weekend,Bus,3.9,5.32,50,Non-Veg,3.7,0.47,3,7.36,Medium,0.31775000000000003
16,Weekday,Bus,10.5,2.5,0,Veg,8.3,0.64,0,5.66,Low,0.48245000000000005
17,Weekday,Walk,13.3,2.26,25,Mixed,8.2,0.42,0,5.39,Low,0.43255000000000005
17,Weekday,Walk,16.2,6.88,0,Non-Veg,6.4,0.18,1,10.95,Medium,0.6044999999999999
17,Weekday,Car,4.99,3.53,75,Non-Veg,7.3,0.72,2,7.33,Medium,0.253075
17,Weekend,Car,5.88,5.06,50,Non-Veg,3.8,0.18,0,9.03,Medium,0.3141
17,Weekend,Bike,0.85,4.69,0,Mixed,2.1,0.2,2,6.79,Medium,0.370425
17,Weekday,Walk,14.21,4.97,50,Non-Veg,6.7,0.72,0,8.4,Medium,0.45962499999999995
17,Weekend,Bus,5.37,5.96,25,Veg,5.6,0.46,1,6.24,Medium,0.410625
18,Weekday,EV,12.79,3.94,50,Veg,4.1,0.38,1,4.19,Low,0.39407499999999995
