user_id,day_type,transport_mode,distance_km,electricity_kwh,renewable_usage_pct,food_type,screen_time_hours,waste_generated_kg,eco_actions,carbon_footprint_kg,carbon_impact_level,unfccc_opportunity,cbd_opportunity,unccd_opportunity
1,Weekend,EV,1.55,6.12,0,Non-Veg,2.4,0.7,1,11.03,High,0.44377500000000003,0.676,0.496
1,Weekend,Walk,10.04,4.5,0,Mixed,4.1,0.54,1,7.44,Medium,0.4905,0.09720000000000001,0.1512
1,Weekday,Walk,15.27,2.81,0,Mixed,4.0,0.51,1,6.01,Medium,0.49390833333333334,0.0918,0.14279999999999998
1,Weekend,Walk,0.5,10.16,0,Mixed,6.3,0.73,0,12.7,High,0.5787833333333334,0.13140000000000002,0.2044
1,Weekend,Walk,3.6,5.02,50,Mixed,5.1,0.64,0,6.33,Medium,0.32906666666666673,0.11520000000000001,0.17919999999999997
1,Weekday,EV,7.77,5.14,50,Veg,4.2,0.73,1,4.89,Low,0.38559166666666667,0.13140000000000002,0.2044
1,Weekend,Bike,6.87,7.14,75,Mixed,2.6,0.45,0,5.5,Low,0.39767499999999995,0.081,0.126
2,Weekend,Bus,0.5,4.76,25,Non-Veg,3.0,0.66,1,8.86,Medium,0.3307833333333333,0.6688000000000001,0.4848
2,Weekday,Walk,14.33,8.78,50,Non-Veg,7.4,0.8,0,10.06,Medium,0.6010583333333333,0.6940000000000001,0.524
2,Weekday,Car,9.51,7.78,0,Mixed,2.4,1.03,1,12.72,High,0.6041416666666668,0.1854,0.2884
2,Weekend,Car,9.25,9.62,75,Mixed,5.3,0.91,3,7.31,Medium,0.5183583333333334,0.1638,0.2548
2,Weekday,Bike,9.42,2.47,0,Mixed,2.8,1.0,0,6.73,Medium,0.40831666666666666,0.18,0.27999999999999997
2,Weekend,EV,0.5,9.06,25,Non-Veg,8.4,0.73,1,11.57,High,0.48845000000000005,0.6814,0.5044
2,Weekday,Walk,6.02,6.8,0,Mixed,8.5,0.75,4,8.38,Medium,0.5245833333333334,0.135,0.20999999999999996
3,Weekend,Bike,11.49,7.73,75,Mixed,4.2,0.81,2,5.26,Low,0.47705833333333336,0.1458,0.22679999999999997
3,Weekend,Bike,4.53,7.42,25,Mixed,3.6,0.82,0,9.05,Medium,0.4786916666666667,0.1476,0.22959999999999997
3,Weekday,Bike,13.81,7.11,0,Veg,5.6,0.68,2,7.85,Medium,0.6333250000000001,0.12240000000000002,0.19039999999999999
3,Weekend,Bus,11.62,3.96,0,Mixed,2.3,0.86,2,7.91,Medium,0.49045,0.1548,0.2408
3,Weekday,Walk,13.91,6.95,0,Veg,3.0,0.93,0,8.82,Medium,0.6287083333333334,0.16740000000000002,0.2604
3,Weekend,Car,5.97,9.47,0,Veg,7.1,1.02,1,11.84,High,0.6218583333333334,0.1836,0.28559999999999997
3,Weekday,Bike,14.35,11.36,0,Veg,7.8,0.67,0,12.11,High,0.7959083333333334,0.12060000000000001,0.1876
4,Weekend,Bus,3.73,3.54,50,Mixed,3.2,0.75,1,5.75,Low,0.27642500000000003,0.135,0.20999999999999996
4,Weekday,Bike,8.87,5.75,75,Non-Veg,8.1,0.9,2,6.96,Medium,0.3717083333333333,0.7120000000000001,0.552
4,Weekday,Bus,7.08,5.74,75,Veg,8.3,0.7,1,4.18,Low,0.3489666666666667,0.126,0.19599999999999998
4,Weekday,Bike,17.2,4.77,75,Non-Veg,8.2,0.86,0,7.51,Medium,0.4399,0.7048000000000001,0.5408
4,Weekday,Bus,16.87,6.85,0,Mixed,3.1,0.6,2,10.38,Medium,0.6620416666666666,0.10800000000000001,0.16799999999999998
4,Weekday,Walk,14.94,4.61,0,Veg,4.3,0.89,3,5.65,Low,0.5557833333333333,0.1602,0.2492
4,Weekday,Bike,17.07,3.86,0,Mixed,8.8,0.58,2,6.57,Medium,0.5549083333333333,0.1044,0.1624
5,Weekend,Car,16.94,7.23,25,Non-Veg,3.4,0.63,0,14.26,High,0.6268500000000001,0.6634000000000001,0.47639999999999993
5,Weekend,Walk,9.91,5.13,75,Mixed,8.7,0.92,2,4.86,Low,0.361975,0.16560000000000002,0.2576
5,Weekday,EV,11.5,8.39,100,Veg,8.7,0.73,2,2.54,Low,0.45138333333333336,0.13140000000000002,0.2044
5,Weekday,Car,15.11,7.45,75,Mixed,6.9,0.57,1,8.49,Medium,0.5120416666666667,0.1026,0.1596
5,Weekend,Car,6.23,5.0,75,Non-Veg,7.2,1.04,1,8.68,Medium,0.3112083333333333,0.7372000000000001,0.5912
5,Weekend,Car,10.22,7.99,75,Non-Veg,8.4,0.93,1,9.99,Medium,0.4707166666666667,0.7174,0.5604
5,Weekend,Bike,8.28,9.11,50,Non-Veg,7.6,0.76,1,9.75,Medium,0.5375333333333333,0.6868000000000001,0.5127999999999999
6,Weekday,Bus,15.04,6.21,25,Veg,4.0,0.63,1,7.37,Medium,0.5657000000000001,0.11340000000000001,0.17639999999999997
6,Weekend,Bus,2.43,5.68,25,Veg,7.4,0.84,0,6.7,Medium,0.3886416666666667,0.1512,0.2352
6,Weekday,Bike,6.92,6.36,25,Mixed,6.5,0.6,3,6.94,Medium,0.46970000000000006,0.10800000000000001,0.16799999999999998
6,Weekday,Bus,9.35,7.82,25,Non-Veg,2.5,0.83,1,11.66,High,0.5536083333333334,0.6994,0.5324
6,Weekend,Bike,9.46,5.43,25,Veg,7.0,0.6,1,5.66,Low,0.46735000000000004,0.10800000000000001,0.16799999999999998
6,Weekend,Walk,14.49,8.14,25,Mixed,3.7,0.99,0,9.69,Medium,0.6295916666666668,0.1782,0.2772
6,Weekday,Bike,9.17,5.85,0,Non-Veg,5.4,1.11,1,11.23,High,0.5291250000000001,0.7498,0.6108
7,Weekend,Car,12.53,3.19,50,Veg,2.3,0.96,2,6.29,Medium,0.37359166666666666,0.1728,0.2688
7,Weekday,Bus,6.26,5.4,25,Mixed,8.6,0.68,1,7.74,Medium,0.4262500000000001,0.12240000000000002,0.19039999999999999
7,Weekday,Walk,9.54,9.56,25,Non-Veg,8.6,0.76,1,11.89,High,0.6197833333333335,0.6868000000000001,0.5127999999999999
7,Weekend,Car,5.57,4.89,0,Mixed,7.9,0.71,0,9.53,Medium,0.448925,0.1278,0.19879999999999998
7,Weekday,Walk,9.64,7.29,0,Mixed,6.9,0.85,2,9.7,Medium,0.5878,0.153,0.238
7,Weekend,Car,7.23,6.75,75,Non-Veg,8.9,0.53,1,8.64,Medium,0.387875,0.6454000000000001,0.4484
7,Weekday,EV,9.32,7.85,75,Non-Veg,8.0,0.98,1,8.26,Medium,0.4543333333333333,0.7264,0.5744
8,Weekday,Car,10.24,9.8,0,Veg,8.3,0.87,1,12.83,High,0.6873333333333334,0.15660000000000002,0.24359999999999998
8,Weekday,Bus,13.3,7.21,100,Non-Veg,6.0,0.71,0,7.41,Medium,0.4306166666666667,0.6778000000000001,0.49879999999999997
8,Weekday,Walk,20.37,9.62,50,Non-Veg,7.5,0.63,1,9.8,Medium,0.7073583333333333,0.6634000000000001,0.47639999999999993
8,Weekend,Bus,3.2,7.43,25,Mixed,5.1,0.81,0,9.3,Medium,0.46243333333333336,0.1458,0.22679999999999997
8,Weekday,Walk,15.22,8.19,50,Non-Veg,2.7,0.76,0,9.77,Medium,0.59055,0.6868000000000001,0.5127999999999999
8,Weekend,Walk,4.27,7.82,75,Mixed,6.9,1.1,3,5.22,Low,0.39010833333333333,0.198,0.308
8,Weekend,Car,4.09,3.78,75,Veg,2.8,1.18,1,4.65,Low,0.23972500000000002,0.2124,0.33039999999999997
9,Weekday,Car,13.29,4.4,50,Non-Veg,6.1,0.67,0,10.89,Medium,0.4274583333333334,0.6706000000000001,0.4876
9,Weekday,Bike,13.61,5.27,100,Non-Veg,2.1,0.78,1,6.03,Medium,0.36335833333333334,0.6904000000000001,0.5184
9,Weekday,EV,12.28,7.66,100,Non-Veg,2.5,0.78,2,6.13,Medium,0.4343666666666667,0.6904000000000001,0.5184
9,Weekend,Bus,6.22,9.76,25,Veg,8.3,0.53,0,9.14,Medium,0.5856166666666667,0.09540000000000001,0.1484
9,Weekday,Bus,11.56,7.64,50,Veg,3.9,0.66,1,6.45,Medium,0.5246333333333334,0.11880000000000002,0.1848
9,Weekend,Walk,0.58,2.44,75,Veg,6.8,0.76,0,3.41,Low,0.14671666666666666,0.1368,0.21279999999999996
9,Weekday,Car,6.72,9.18,75,Non-Veg,8.1,0.92,1,9.5,Medium,0.47059999999999996,0.7156,0.5576
10,Weekend,Car,4.12,6.95,75,Mixed,7.9,0.72,1,6.26,Medium,0.35633333333333334,0.1296,0.2016
10,Weekday,Walk,11.57,6.24,75,Mixed,7.7,1.04,2,5.23,Low,0.423425,0.1872,0.2912
10,Weekday,Walk,13.25,4.42,100,Mixed,6.2,0.71,0,4.35,Low,0.32769166666666666,0.1278,0.19879999999999998
10,Weekend,EV,10.24,9.11,25,Veg,2.8,0.79,3,7.76,Medium,0.6120333333333334,0.14220000000000002,0.22119999999999998
10,Weekday,Bike,20.19,8.19,25,Mixed,2.9,0.77,0,9.46,Medium,0.702675,0.1386,0.21559999999999996
10,Weekday,Walk,14.58,8.8,50,Mixed,3.5,0.95,1,7.85,Medium,0.6049166666666667,0.17099999999999999,0.26599999999999996
10,Weekend,Bike,0.5,5.85,25,Veg,7.5,0.88,1,6.26,Medium,0.37075,0.1584,0.2464
11,Weekend,Car,5.94,8.74,0,Veg,5.2,0.85,1,11.03,High,0.5947166666666668,0.153,0.238
11,Weekday,Walk,13.61,7.08,0,Veg,2.9,0.84,0,8.81,Medium,0.6297250000000001,0.1512,0.2352
11,Weekday,Walk,13.47,5.61,0,Mixed,4.4,0.84,1,8.71,Medium,0.5740750000000001,0.1512,0.2352
11,Weekday,EV,15.82,6.35,0,Non-Veg,2.6,0.69,0,12.17,High,0.6305833333333333,0.6742,0.49319999999999997
11,Weekday,Car,6.26,6.96,25,Veg,5.5,0.83,2,7.79,Medium,0.48345000000000005,0.1494,0.2324
11,Weekend,Bus,6.17,7.1,75,Veg,7.2,0.81,0,4.92,Low,0.38745833333333335,0.1458,0.22679999999999997
11,Weekday,EV,9.81,5.09,25,Mixed,6.3,0.73,1,7.5,Medium,0.4592583333333334,0.13140000000000002,0.2044
12,Weekday,EV,3.23,6.15,25,Mixed,5.7,0.66,0,8.2,Medium,0.41587500000000005,0.11880000000000002,0.1848
12,Weekend,Bike,12.1,2.0,0,Non-Veg,3.9,0.56,1,7.41,Medium,0.4245833333333333,0.6508,0.4568
12,Weekend,Walk,5.81,3.72,75,Non-Veg,6.2,0.53,2,6.09,Medium,0.259025,0.6454000000000001,0.4484
12,Weekend,Bus,6.31,3.56,25,Mixed,7.2,0.39,0,6.66,Medium,0.35940833333333333,0.07020000000000001,0.10919999999999999
12,Weekend,Bike,5.24,7.62,25,Veg,4.5,0.33,2,6.29,Medium,0.49490000000000006,0.05940000000000001,0.0924
