time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,uv_index,day_of_year
2026-07-09 00:00:00+00:00,29.2,25.0,84.6,18.9,6.0,190
2026-07-10 00:00:00+00:00,33.0,26.9,0.6,11.5,6.6,191
2026-07-11 00:00:00+00:00,34.3,27.4,0.3,11.8,7.65,192
2026-07-12 00:00:00+00:00,35.0,28.4,1.6,13.7,7.65,193
2026-07-13 00:00:00+00:00,35.8,28.7,0.0,11.6,7.55,194
2026-07-14 00:00:00+00:00,36.2,25.9,2.3,19.6,7.05,195
2026-07-15 00:00:00+00:00,36.3,25.4,3.4,9.7,7.7,196
2026-07-16 00:00:00+00:00,37.3,30.0,0.0,12.6,7.65,197
2026-07-17 00:00:00+00:00,37.4,31.0,0.3,12.1,6.1,198
2026-07-18 00:00:00+00:00,36.3,30.1,0.0,14.9,7.7,199
2026-07-19 00:00:00+00:00,36.6,26.8,8.6,11.2,6.85,200
2026-07-20 00:00:00+00:00,31.7,26.1,28.5,11.5,5.95,201
2026-07-21 00:00:00+00:00,29.9,25.7,14.7,12.2,5.65,202
2026-07-22 00:00:00+00:00,31.8,25.8,4.2,16.5,6.3,203
2026-07-23 00:00:00+00:00,32.2,26.1,9.8,15.0,5.8,204
2026-07-24 00:00:00+00:00,31.0,25.8,8.8,14.7,7.0,205
2026-07-25 00:00:00+00:00,32.3,27.3,2.1,12.6,7.0,206
2026-07-26 00:00:00+00:00,33.7,27.6,1.3,5.0,6.95,207
2026-07-27 00:00:00+00:00,35.3,26.1,2.5,13.3,7.6,208
2026-07-28 00:00:00+00:00,31.0,26.7,18.2,12.0,6.6,209
2026-07-29 00:00:00+00:00,32.5,25.5,11.8,7.5,7.4,210
2026-07-30 00:00:00+00:00,33.2,27.9,4.0,13.0,7.55,211
2026-07-31 00:00:00+00:00,32.5,27.1,7.5,14.4,6.9,212
2026-08-01 00:00:00+00:00,32.4,26.7,3.8,12.5,6.9,213
2026-08-02 00:00:00+00:00,33.7,26.6,3.9,12.0,6.55,214
2026-08-03 00:00:00+00:00,33.4,26.5,16.4,11.9,7.3,215
2026-08-04 00:00:00+00:00,29.5,26.3,11.5,8.7,4.5,216
2026-08-05 00:00:00+00:00,32.5,26.2,7.4,7.8,5.4,217
2026-08-06 00:00:00+00:00,27.7,25.7,9.7,8.4,1.8,218
2026-08-07 00:00:00+00:00,29.1,24.6,71.6,14.4,5.1,219
2026-08-08 00:00:00+00:00,32.1,25.6,14.8,15.8,5.5,220
2026-08-09 00:00:00+00:00,33.8,25.1,2.7,10.8,7.35,221
2026-08-10 00:00:00+00:00,33.2,26.8,7.1,9.7,7.25,222
2026-08-11 00:00:00+00:00,30.4,26.7,11.8,8.5,6.55,223
2026-08-12 00:00:00+00:00,34.4,27.5,2.0,11.1,7.45,224
2026-08-13 00:00:00+00:00,33.6,26.4,2.6,9.2,7.3,225
2026-08-14 00:00:00+00:00,30.9,27.0,11.6,6.0,4.8,226
2026-08-15 00:00:00+00:00,32.5,26.2,7.8,8.5,6.7,227
2026-08-16 00:00:00+00:00,33.3,27.5,1.6,10.4,5.4,228
2026-08-17 00:00:00+00:00,33.0,27.2,4.5,11.7,7.3,229
2026-08-18 00:00:00+00:00,33.1,25.5,3.0,9.6,6.55,230
2026-08-19 00:00:00+00:00,33.2,26.9,5.8,7.5,7.2,231
2026-08-20 00:00:00+00:00,33.2,26.8,4.1,7.5,5.95,232
2026-08-21 00:00:00+00:00,33.6,25.0,6.6,11.1,7.25,233
2026-08-22 00:00:00+00:00,33.3,26.0,2.2,10.0,6.95,234
2026-08-23 00:00:00+00:00,32.7,24.6,12.0,10.4,7.2,235
2026-08-24 00:00:00+00:00,31.7,25.7,3.0,10.8,2.25,236
2026-08-25 00:00:00+00:00,32.6,26.2,3.4,7.3,7.2,237
2026-08-26 00:00:00+00:00,32.3,26.1,13.5,8.2,6.55,238
2026-08-27 00:00:00+00:00,34.4,27.8,0.0,9.4,5.85,239
2026-08-28 00:00:00+00:00,34.2,26.2,0.5,13.9,7.15,240
2026-08-29 00:00:00+00:00,34.9,27.9,0.0,12.6,7.05,241
2026-08-30 00:00:00+00:00,34.0,27.8,0.2,10.8,7.15,242
2026-08-31 00:00:00+00:00,34.4,27.8,0.8,12.6,7.1,243
2026-09-01 00:00:00+00:00,34.3,26.1,3.9,10.4,7.0,244
2026-09-02 00:00:00+00:00,32.5,25.6,13.8,9.3,6.95,245
2026-09-03 00:00:00+00:00,31.8,25.6,3.6,9.5,2.15,246
2026-09-04 00:00:00+00:00,30.2,25.6,21.2,10.0,5.9,247
2026-09-05 00:00:00+00:00,27.9,25.1,15.3,13.1,5.95,248
2026-09-06 00:00:00+00:00,27.6,24.1,18.0,12.4,3.85,249
2026-09-07 00:00:00+00:00,32.4,24.8,0.9,9.2,6.85,250
2026-09-08 00:00:00+00:00,32.4,25.5,1.3,12.8,6.8,251
2026-09-09 00:00:00+00:00,33.5,26.6,0.0,13.8,6.85,252
2026-09-10 00:00:00+00:00,34.4,26.5,0.0,11.5,6.8,253
2026-09-11 00:00:00+00:00,31.1,25.7,9.9,14.1,6.75,254
2026-09-12 00:00:00+00:00,31.0,26.9,6.4,11.2,6.7,255
2026-09-13 00:00:00+00:00,32.5,26.1,0.7,10.3,6.65,256
2026-09-14 00:00:00+00:00,31.8,26.0,3.6,11.1,6.15,257
2026-09-15 00:00:00+00:00,32.9,26.2,1.6,14.4,6.2,258
2026-09-16 00:00:00+00:00,35.2,24.0,4.7,17.8,6.55,259
