Date,Household_ID,Bathroom_Liters,Kitchen_Liters,Laundry_Liters,Gardening_Liters,Total_Liters
2025-01-01,7,248,162,110,100,620
2025-01-02,20,321,111,241,7,680
2025-01-03,15,253,101,67,52,473
2025-01-04,11,363,61,86,59,569
2025-01-05,8,368,88,86,107,649
2025-01-06,7,184,179,80,4,447
2025-01-07,19,342,180,89,102,713
2025-01-08,11,376,162,156,5,699
2025-01-09,11,250,150,87,108,595
2025-01-10,4,324,162,170,115,771
2025-01-11,8,355,130,120,93,698
2025-01-12,3,280,162,107,46,595
2025-01-13,2,150,51,206,98,505
2025-01-14,12,154,179,63,54,450
2025-01-15,6,367,103,94,51,615
2025-01-16,2,396,136,108,143,783
2025-01-17,1,291,178,76,12,557
2025-01-18,12,252,196,231,113,792
2025-01-19,12,176,175,217,123,691
2025-01-20,17,286,179,105,105,675
2025-01-21,10,356,102,176,146,780
2025-01-22,16,164,117,65,144,490
2025-01-23,15,239,172,158,119,688
2025-01-24,15,191,194,183,62,630
2025-01-25,19,273,87,96,18,474
2025-01-26,12,354,73,83,91,601
2025-01-27,20,328,118,152,57,655
2025-01-28,3,212,165,105,89,571
2025-01-29,5,245,147,240,116,748
2025-01-30,19,380,188,154,61,783
2025-01-31,7,390,193,158,22,763
2025-02-01,9,201,146,247,126,720
2025-02-02,7,245,173,175,136,729
2025-02-03,18,281,119,219,139,758
2025-02-04,4,371,142,220,128,861
2025-02-05,14,378,52,126,57,613
2025-02-06,18,300,197,187,121,805
2025-02-07,9,380,196,77,0,653
2025-02-08,2,386,139,84,33,642
2025-02-09,20,292,196,113,95,696
2025-02-10,15,320,197,117,125,759
2025-02-11,7,178,145,126,117,566
2025-02-12,12,185,101,163,47,496
2025-02-13,8,162,177,233,88,660
2025-02-14,15,309,88,83,116,596
2025-02-15,3,220,131,173,128,652
2025-02-16,14,336,153,91,15,595
2025-02-17,17,392,178,234,68,872
2025-02-18,4,235,60,145,21,461
2025-02-19,18,177,91,210,92,570
2025-02-20,8,215,148,186,75,624
2025-02-21,4,319,56,214,143,732
2025-02-22,2,194,193,189,85,661
2025-02-23,6,211,139,76,28,454
2025-02-24,10,334,161,163,68,726
2025-02-25,4,394,109,220,46,769
2025-02-26,18,283,162,196,93,734
2025-02-27,12,177,51,102,143,473
2025-02-28,2,177,178,235,84,674
2025-03-01,10,257,97,98,38,490
2025-03-02,4,193,189,229,99,710
2025-03-03,14,233,86,85,32,436
2025-03-04,16,179,58,158,100,495
2025-03-05,15,339,148,109,22,618
2025-03-06,8,224,196,212,9,641
2025-03-07,14,277,97,211,68,653
2025-03-08,8,399,180,72,99,750
2025-03-09,16,396,197,119,33,745
2025-03-10,13,241,103,194,137,675
2025-03-11,18,366,169,116,146,797
2025-03-12,15,380,165,95,95,735
2025-03-13,13,339,124,232,0,695
2025-03-14,9,374,162,79,68,683
2025-03-15,15,278,153,124,3,558
2025-03-16,13,270,133,67,15,485
2025-03-17,1,176,161,203,23,563
2025-03-18,7,339,148,201,79,767
2025-03-19,9,270,142,174,1,587
2025-03-20,1,265,195,202,127,789
2025-03-21,12,354,177,151,83,765
2025-03-22,8,382,159,157,139,837
2025-03-23,11,152,131,125,123,531
2025-03-24,19,252,103,91,32,478
2025-03-25,17,347,117,145,100,709
2025-03-26,8,349,82,110,11,552
2025-03-27,3,304,191,212,66,773
2025-03-28,3,286,70,245,64,665
2025-03-29,1,211,97,122,73,503
2025-03-30,5,314,197,249,42,802
2025-03-31,10,374,177,184,43,778
2025-04-01,7,200,185,209,28,622
2025-04-02,9,383,184,117,140,824
2025-04-03,7,321,194,117,11,643
2025-04-04,9,301,177,145,94,717
2025-04-05,8,356,82,108,45,591
2025-04-06,12,208,164,239,129,740
2025-04-07,2,267,168,229,34,698
2025-04-08,1,309,71,129,80,589
2025-04-09,16,245,87,74,89,495
2025-04-10,5,365,158,113,7,643
