time,temperature_2m,relative_humidity_2m,cloud_cover,pressure_msl,wind_speed_10m,hour,day_of_year
2023-01-01 00:00:00+00:00,8.0,95,88,1020.1,6.9,0,1
2023-01-01 01:00:00+00:00,8.0,95,99,1020.7,7.2,1,1
2023-01-01 02:00:00+00:00,8.1,95,11,1021.1,7.6,2,1
2023-01-01 03:00:00+00:00,9.5,90,13,1021.7,8.7,3,1
2023-01-01 04:00:00+00:00,12.0,84,0,1022.5,6.9,4,1
2023-01-01 05:00:00+00:00,14.4,75,0,1023.0,6.5,5,1
2023-01-01 06:00:00+00:00,16.2,68,0,1022.6,6.3,6,1
2023-01-01 07:00:00+00:00,17.3,63,0,1021.4,5.5,7,1
2023-01-01 08:00:00+00:00,18.0,60,0,1020.4,6.0,8,1
2023-01-01 09:00:00+00:00,18.3,56,21,1019.6,5.9,9,1
2023-01-01 10:00:00+00:00,18.2,55,37,1019.2,5.8,10,1
2023-01-01 11:00:00+00:00,17.4,62,23,1019.4,5.0,11,1
2023-01-01 12:00:00+00:00,16.8,63,86,1020.0,4.9,12,1
2023-01-01 13:00:00+00:00,15.8,67,49,1020.2,1.1,13,1
2023-01-01 14:00:00+00:00,14.9,71,35,1020.6,1.8,14,1
2023-01-01 15:00:00+00:00,12.0,82,0,1021.3,3.9,15,1
2023-01-01 16:00:00+00:00,10.6,85,0,1021.2,5.5,16,1
2023-01-01 17:00:00+00:00,10.8,82,0,1021.4,5.6,17,1
2023-01-01 18:00:00+00:00,11.2,78,0,1021.2,5.4,18,1
2023-01-01 19:00:00+00:00,9.3,86,0,1021.1,7.3,19,1
2023-01-01 20:00:00+00:00,8.6,90,0,1020.8,8.1,20,1
2023-01-01 21:00:00+00:00,8.1,92,0,1020.2,8.5,21,1
2023-01-01 22:00:00+00:00,7.3,95,0,1020.3,9.2,22,1
2023-01-01 23:00:00+00:00,8.9,92,0,1019.9,6.1,23,1
2023-01-02 00:00:00+00:00,6.5,95,0,1020.7,5.1,0,2
2023-01-02 01:00:00+00:00,6.7,95,0,1021.4,4.6,1,2
2023-01-02 02:00:00+00:00,6.3,95,0,1022.2,5.0,2,2
2023-01-02 03:00:00+00:00,8.8,91,0,1023.0,6.4,3,2
2023-01-02 04:00:00+00:00,12.1,83,0,1023.7,4.0,4,2
2023-01-02 05:00:00+00:00,15.0,73,0,1024.0,3.1,5,2
2023-01-02 06:00:00+00:00,16.6,65,0,1023.2,2.0,6,2
2023-01-02 07:00:00+00:00,17.5,58,0,1022.2,2.4,7,2
2023-01-02 08:00:00+00:00,18.0,55,0,1021.2,4.1,8,2
2023-01-02 09:00:00+00:00,18.2,53,0,1020.3,5.8,9,2
2023-01-02 10:00:00+00:00,17.9,53,0,1019.7,7.0,10,2
2023-01-02 11:00:00+00:00,17.0,59,0,1019.9,4.9,11,2
2023-01-02 12:00:00+00:00,15.2,68,0,1020.7,3.7,12,2
2023-01-02 13:00:00+00:00,14.1,73,4,1021.4,1.3,13,2
2023-01-02 14:00:00+00:00,13.3,76,0,1022.0,2.2,14,2
2023-01-02 15:00:00+00:00,12.8,77,0,1022.4,3.9,15,2
2023-01-02 16:00:00+00:00,12.4,79,0,1022.5,5.2,16,2
2023-01-02 17:00:00+00:00,12.2,80,0,1022.6,4.3,17,2
2023-01-02 18:00:00+00:00,11.7,82,0,1022.3,5.0,18,2
2023-01-02 19:00:00+00:00,11.0,86,0,1022.2,5.1,19,2
2023-01-02 20:00:00+00:00,10.4,90,12,1021.8,5.9,20,2
2023-01-02 21:00:00+00:00,9.5,93,37,1022.0,6.0,21,2
2023-01-02 22:00:00+00:00,8.5,98,54,1021.7,4.1,22,2
2023-01-02 23:00:00+00:00,7.8,99,100,1021.7,2.4,23,2
